Artist Name,Genre,Gender,Location,Discipline,Number of Songs (Spotify),Number of albums,Number of EPs/Singles (Spotify),Monthly listeners (Spotify),Total Streams (Spotify),Fan Retention Rate (Spotify),(Spotify),Playlist Reach (Spotify),Platform Playlists appearence (Spotify),Non-platform playlists (Spotify),Spotify Following,Instagram Following,TikTok Following
Vaishalini,4,2,5,3,5,2,5,4,9,5,4,6,1,7,4,3,4
Revenge Wife,2,2,1,3,5,1,4,3,8,5,3,6,2,7,3,4,4
Natalie Lindi,4,2,3,1,4,1,2,2,5,2,2,5,1,3,3,3,3
Boys Go to Jupiter,2,2,1,3,3,1,3,3,7,3,4,5,1,6,3,4,3
peachi,1,2,1,3,1,1,1,3,5,1,3,2,1,2,1,1,2
Simona,4,2,1,3,4,1,4,3,5,1,3,6,1,4,1,3,2
Arlo,4,1,1,4,5,1,4,4,9,1,4,6,1,7,2,4,3
Ve'ondre,3,2,1,4,2,1,2,5,9,2,4,6,2,7,4,8,8
Sade Fox,1,2,1,3,5,1,3,2,3,3,2,5,1,1,1,1,2
vi0let,1,2,1,4,5,1,3,3,6,3,3,6,1,6,2,2,2
OSIE,1,2,1,3,2,1,1,2,3,6,2,1,1,2,2,4,6
VonSell,5,1,1,4,5,1,4,4,9,1,3,6,4,7,2,2,0
Norah's World,4,2,1,4,5,1,4,2,4,2,5,5,1,4,1,4,2
Shae Universe,4,2,1,4,5,2,5,5,9,1,5,6,4,8,4,5,5
GAWD,4,2,1,4,5,2,3,3,8,3,4,6,1,7,3,4,2
Pebbles&TamTam,3,2,1,4,3,1,2,5,9,3,5,6,3,7,4,4,5
Zachkary,5,1,1,3,4,1,4,3,6,1,3,2,1,6,2,6,8
Solo Sae,5,1,3,4,5,2,5,2,6,2,3,4,2,4,2,3,0
Sammy Cokas,5,1,1,3,5,2,4,1,5,6,1,3,1,1,1,4,1
