Artist Name,Genre,Gender,Location,Discipline,Number of Songs (Spotify),Number of albums,Number of EPs/Singles (Spotify),Monthly listeners (Spotify),Total Streams (Spotify),Fan Retention Rate (Spotify),(Spotify),Playlist Reach (Spotify),Platform Playlists appearence (Spotify),Non-platform playlists (Spotify),Spotify Following,Instagram Following,TikTok Following,Distance_to_Ready,Distance_to_Potential,Distance_to_Not Ready,Cluster
Vaishalini,4.0,2.0,5.0,3.0,5.0,2.0,5.0,4.0,9.0,5.0,4.0,6.0,1.0,7.0,4.0,3.0,4.0,0.9993251450938049,0.9986674809838432,0.9056603773584906,Potential
Revenge Wife,2.0,2.0,1.0,3.0,5.0,1.0,4.0,3.0,8.0,5.0,3.0,6.0,2.0,7.0,3.0,4.0,4.0,0.9994061276825482,0.9988340458608628,0.8867924528301887,Potential
Natalie Lindi,4.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,0.9997300580375219,0.9995003053689412,0.5849056603773585,Ready
Boys Go to Jupiter,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,7.0,3.0,4.0,5.0,1.0,6.0,3.0,4.0,3.0,0.9994871102712917,0.9990006107378824,0.7169811320754716,Potential
peachi,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.9999444783743268,0.3584905660377358,Not Ready
Simona,4.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,3.0,6.0,1.0,4.0,1.0,3.0,2.0,0.9997570522337698,0.9995558269946144,0.5660377358490566,Ready
Arlo,4.0,1.0,1.0,4.0,5.0,1.0,4.0,4.0,9.0,1.0,4.0,6.0,1.0,7.0,2.0,4.0,3.0,0.9994871102712917,0.9990006107378824,0.7924528301886793,Ready
Ve'ondre,3.0,2.0,1.0,4.0,2.0,1.0,2.0,5.0,9.0,2.0,4.0,6.0,2.0,7.0,4.0,8.0,8.0,0.9991361857200702,0.9981677863527844,1.0,Potential
Sade Fox,1.0,2.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,0.9999730058037521,1.0,0.4528301886792453,Not Ready
vi0let,1.0,2.0,1.0,4.0,5.0,1.0,3.0,3.0,6.0,3.0,3.0,6.0,1.0,6.0,2.0,2.0,2.0,0.9996490754487786,0.9993337404919216,0.6792452830188679,Ready
OSIE,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,0.9997300580375219,0.9995003053689412,0.5471698113207547,Not Ready
VonSell,5.0,1.0,1.0,4.0,5.0,1.0,4.0,4.0,9.0,1.0,3.0,6.0,4.0,7.0,2.0,2.0,0.0,0.9997030638412742,0.999444783743268,0.7547169811320755,Ready
Norah's World,4.0,2.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,2.0,0.9998110406262654,0.9996668702459608,0.5660377358490566,Not Ready
Shae Universe,4.0,2.0,1.0,4.0,5.0,2.0,5.0,5.0,9.0,1.0,5.0,6.0,4.0,8.0,4.0,5.0,5.0,0.9993791334863005,0.9987785242351896,0.9811320754716981,Potential
GAWD,4.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,8.0,3.0,4.0,6.0,1.0,7.0,3.0,4.0,2.0,0.9994871102712917,0.9990006107378824,0.7924528301886793,Potential
Pebbles&TamTam,3.0,2.0,1.0,4.0,3.0,1.0,2.0,5.0,9.0,3.0,5.0,6.0,3.0,7.0,4.0,4.0,5.0,0.999298150897557,0.99861195935817,0.9245283018867925,Potential
Zachkary,5.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,6.0,1.0,3.0,2.0,1.0,6.0,2.0,6.0,8.0,0.9995141044675395,0.9990561323635556,0.7358490566037735,Ready
Solo Sae,5.0,1.0,3.0,4.0,5.0,2.0,5.0,2.0,6.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,0.0,0.999865029018761,0.9997779134973072,0.5660377358490566,Not Ready
Sammy Cokas,5.0,1.0,1.0,3.0,5.0,2.0,4.0,1.0,5.0,6.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.999865029018761,0.9998889567486536,0.5283018867924528,Not Ready
